text,label
We re asking Congress to provide federal aid to the nation s 900 electric co ops some of which may suffer from budget shortfalls as their consumer members struggle to pay their electric bills during the COVID 19 pandemic Learn more,extremely negative
@TheSimpsons perfectly summarizes a trip to the grocery store lately... #COVID #coronavirus #CoronavirusHumor https://t.co/JmsFYrlgrB,extremely positive
"FUT CHAMPS everybody wants to get the best rewards but may not have enough time to play. I can get GOLD 3 plus rewards for you depending on the team. Message me for prices. Money paid after depending on Rank.
#FIFA20 #FUTChamps #gaming #FIFA #fifahelp #COVID?19 #coronavirus #EA https://t.co/DrhdMEsp0C",extremely positive
"Earlier OPEC, Russia and other oil producing nations agreed to cut output by a record amount, representing about 10% of global supply, to support oil prices amid the #coronavirus pandemic.

#COVID__19",positive
"Don't Believe the Hype: Bogus Products, Coronavirus Scams Abound https://t.co/El4e8sm7X9 #covid #coronavirus",negative
Let s continue to thank the people out in public working so hard People in health care scientists first responders grocery store amp pharmacy employees journalists everyone in the delivery service Who else Comment below on who you want to thank,extremely positive
"Take 11 min. &amp; listen to this.
Joe Rogan Reacts to LA Shutdown, Latest #Coronavirus News: https://t.co/rD2PZ4v0h6
#COVID19 #COVID?19 #America #USA #Economy #Money #PayCheck #Food #Aid #ToiletPaper #Fear #FirstWorld #FirstWorldPandemicProblems #FirstWorldProblems #JoeRoganPodcast",neutral
"Here's something that really helped me find my equilibrium, and keep finding my peaceful center over the last few stressful days, whenever I listen to it, it helps me not panic about supplies and food and medical care that I might need in the days ahead #coronavirus #stophoarding https://t.co/4snFJeCQir",extremely positive
Beyond unemployment there is going to be a national crisis of mortgage defaults in our urban centres. Incomes have been disconnected from housing prices for far too long. #vanpoli #vanre #bcpoli #cdnpoli #canre #covid19Canada  https://t.co/irTNMtgHs9,extremely negative
"Shell recently dropped out of a major #LNG project due to the crash in energy prices. See what our LNG and Proprietary #NaturalGas lead, Allison Hurley, has to say about #coronavirus affecting demand: https://t.co/vx4kYVvfvL",negative
"Investors are not pricing in the tectonic shift in consumer psychology. Older consumers are not going to go out and spend (restaurants, movies, travel, cruises...) as before until we either have herd immunity or a vaccine.  And these groups represent 82% of held wealth. https://t.co/MAeDK9Ejqk",positive
@cenbank The world is facing a multitude of economic challenges rooted in Covid 19 &amp; fall in global oil prices. @NigeriaGov is Also doing A lot to cushion the impact &amp; Open Economic Opportunities..Stay Focused on Govt handles. Pay Less Attention t,extremely positive
"This is your daily reminder. Every day until the Covid-19 pandemic has settled down.

You must stay at home, go out for excerise and emergencies or food shopping, be safe and wash your hands. Don't panic buy. Buy what you need for this week only. Stay safe. Follow this please!",positive
"4th Apr - @AndyOstroy Ohio  4,043 cases of COVID-19 in the state. That's a jump of 304 from previous day, 
 119 deaths across the state, an increase of 17 over the previous day, the most reported in a 24 hour period. #bloodofJesus Vs #Hydroxychloroquine prices -/+ ?",positive
As the places it s efforts on containing the spread of 19 let us take preventative measures to alleviate the burden For more information on sizes and prices or to place an order contact 08162453243 Email Schael@zennithgroup com,negative
"@BorisJohnson 
Nhs staff incl Community,
999 staff,
Care providers,
Supermarket staff,
Food distribution,
Emergency maintenance,

Nobody else to go out, at all.
????50 per day exposure grant to above, affected KEYWORKERS

That????s that",positive
Corona Virus   ruining lives at first and your Ass too cause we ain t got no toilet paper,extremely negative
"During the current Covid-19 health crisis, Project Self-Sufficiency will gratefully accept monetary donations, as well as new, non-perishable items to stock our food pantry, Monday - Friday, 9am - noon.  Donate online: https://t.co/CAsKF9cI3w https://t.co/z5JGHBKn2i",positive
Gotta find little victories during #coronavirus ??????????. Got #toiletpaper for our house and my parents.  AND filled my car with $2.10 premium gas.  Don????t really have anywhere to go but I have a full tank of gas???. #socialdistancing #quarantine #forgoodnesssake #itsthelittlethings https://t.co/4T9sEpKABg,neutral
SUSPEND ethanol restrictions Sitting on millions gallons of ETHANOL for E10 fuel can be used amp NOT denatured either for hand sanitizer instead of isopropyl and sold directly 80 to reduce fire hazard as disinfectant for surfaces,negative
