text,label
"COVID-19 is a Wake-up Call; - Carl Safina - Medium????Why are we seeing a boom in viruses like Ebola, SARS,and coronavirus?2/3of emerging pathogens originate in https://t.co/P9OYyfMPSU our demand for animal-based food, clothing, and increases so does the risk https://t.co/TYPbl2XUOV",negative
@PressSec @realDonaldTrump This is BS now At this point I????d rather get the damn #coronavirus we have lost a third of our money in the stock market lost our jobs food supply chain bare and freedom nope not that either.  I????m done being strong we are hosta,positive
I can????t sleep because  I????m scared and nervous because I have to get a couple things from the grocery store. I think I????m just going to go now on no sleep. #coronavirus2020 #coronavirus #scared #anxiety,extremely negative
Crucial info from a friend who knows how much loo roll people use As someone who has frequently provisioned for 4 6 months without a grocery store I promise you that 1 roll per person per week of th#e average sized roll is all you need,positive
The pandemic has highlighted the fragility of global food systems. We must address the long-term implications of COVID-19 on food security. #GlobalFoodSecurity #COVID19,negative
"It's infuriating to see people stockpiling essential items like food and toilet paper, leaving vulnerable individuals without access to necessary supplies. This behavior is selfish and inconsiderate. #COVID19 #PanicBuying #Hoarding",extremely negative
It's infuriating to see people taking advantage of the situation and price gouging essential items. This is not the time for greed. #COVID19 #PriceGouging #EssentialItems,extremely negative
Cool Update: Eastern Montana Hospital Gets a Special Delivery https://t.co/OarVitupQJ #MTnews #HighwayPatrol #Coronavirus #Whiskey,extremely positive
Stay updated on the week-by-week conversational topics related to coronavirus. Learn more here: [link] #coronavirus #socialmedia #branding #Analytics,neutral
The impact of the pandemic on children's education is devastating. They are missing out on valuable learning opportunities and social interactions. #COVID19 #EducationImpact #Children,extremely negative
"????The Lucky Charms were all gone.???? Disappointments of a food shopper trying to stock up. https://t.co/AiEMMHbvWm. 

Fascinating look at consumer buying habits during COVID-19. It will be interesting to see what changes occur long term. Via @WSJ",extremely positive
I already knew about some geniuses in Denmark but this supermarket sets the record First hand sanitizer you buy is about   5 50 euro second is about   134 That s a way to stop the hoarding   WELL DONE who dares to be next,extremely positive
"@FraserNelson People are working from home....
The food supply needs to shift accordingly. Schools have shut...and their dinners...more demand on the supermarkets.  Supply not greed not over buying.  #coronavirus",positive
Surreal moment of the day: Hearing ????Life Is A Highway???? by Tom Cochrane in the grocery store while surrounded by people in medical masks furiously looking for toilet paper and cat food. #CoronaVirusUpdate #coronavirus #CoronavirusPandemic #Covid_19 #COVID19US #CoronaVirusSeattle,negative
With US grocery store shelves empty of TP Toilet Paper it seems like about time to bring back this wonderful meme Stay Lawful Good out there folks And stop hoarding all the TP 19,extremely positive
The frustration is mounting as panic buying and hoarding create shortages of essential supplies. It's time for people to think about the impact of their actions on others and show some compassion. #COVID19 #Anger #EssentialSupplies,extremely negative
"The individuals and families that food banks support simply can????t afford to stock up, as other Canadians are doing.  https://t.co/YlBhj6fTRi",positive
"A good read...
B E 
C A R E F U L 
#OnLineShopping #malware #identitythiefs 
RT
Important tips for safe online shopping post #COVID19 https://t.co/YST8orJtgh via @Malwarebytes",extremely positive
"Despite the challenges we're facing, it's important to remember that we're all in this together. Let's support each other and come out stronger on the other side. #COVID19 #community",positive
"I never thought I'd say this, but I miss the days when the biggest decision at the grocery store was choosing between paper or plastic bags. #COVID19 #groceryshopping",neutral
Been using my hand sanitizer as perfume.  #coronavirus #glam https://t.co/YHdAGrISB4,positive
"Is COVID-19 Reshaping Consumer Content Preferences?
New research reveals insights into consumer content consumption, spending habits, and advertising preferences shaped by coronavirus pandemic.
https://t.co/OaaIB5LvYD",neutral
Donating blood can save lives and empower individuals who are in need of life-saving transfusions. Let's make a difference by giving the gift of life. #Empowerment #DonateBlood #PositiveActions,extremely positive
"What I have learnt in  #Covid_19 days:

7) The prices of vegetables and fruits and honing the negotiating skills.
8) Household chores can lead to weight loss. #QuarantineLife #QuarantineActivities #COVID2019india #COVID19outbreak",negative
"Let's be mindful of our words and actions. Spread kindness and encouragement instead of fear and negativity. Together, we can create a positive ripple effect that uplifts everyone around us. #Empowerment #PositiveActions #SpreadKindness",extremely positive
Latest: COVID-19: UK supermarket giant Sainsbury????s introduces rationing https://t.co/6gSWojGs44,neutral
Sending a big thank you to the military personnel involved in logistics. Your hard work and commitment ensure that essential goods reach those who need them most. We are grateful for your service! #FrontlineWorkers #Appreciation,extremely positive
The panic buying and hoarding of essentials is causing unnecessary stress and anxiety for vulnerable individuals. It's time to think of others and stop this selfish behavior. #coronavirus #PanicBuying,extremely negative
This sign posted at my local grocery store.  Crazy times.  #FridayThoughts #SocialDistanacing #FlattenTheCurve #coronavirus #coronavirus2020 https://t.co/1W8zfQ7rDc,negative
"Global consumer products giant Unilever gets it right in their communication to all employees ... with the MUSTS and MUST NOT do guidance during #covid19 #coronaviruspandemic 

Note:  This was from March 13th so they may have likel????https://t.co/kSJvaGqrcL https://t.co/0MSDPnMuTq",neutral
"Sending a big thank you to all the healthcare workers who are on the frontlines, risking their own health to care for others. Your bravery and selflessness are truly commendable. #HealthcareHeroes #COVID19",positive
"V
Caprice Bourret protects herself with a face mask as she stocks up on food at the supermarket after revealing her best friend has contracted COVID-19
======

https://t.co/icSDdfMxjP https://t.co/krW9gBLsoD",extremely positive
The impact of COVID-19 on global food markets is deeply concerning. Vulnerable countries are at risk of facing severe food shortages. #COVID19 #foodsecurity,negative
"d) Don't panic buy, in the event of a lock down you will be able to visit the shops once a day. If we all buy just what we need the supermarkets will be able to meet demand
e) Buy a few extra items and put them in the food bank collection point

#coronavirus",negative
"Just went to Fiesta Supermarket &amp; it was scary! The store was filled w/people, some had masks on, some had gloves. Others used clothes to cover their mouths/noses. Some shelves were empty &amp; most items had a limit of 1 per purchase. The checkout lines were so long! #coronavirus",negative
One of our Desi Scientist Grocery store,neutral
