text,label
"Let's appreciate the simple joys in life, like a good cup of coffee or a beautiful sunset. #SimpleJoys #COVID19",positive
The economic impact of COVID-19 is devastating. Many businesses are struggling to survive and people are losing their jobs. #economy #unemployment,negative
60 of shoppers want stores open by the end of May,positive
Purchase Your Fabricated Manual Screen Printing Machine 4 stations 000 6 stations 000 Prices are negotiable Dm Call or Whstsapp 08121156706 Ronaldo Cristiano Yoruba Seyi Makinde Guardiola Torres Pls Retweet,positive
My cousin works at a grocery store. She says she's been working 70+ hours a week and still can't keep up. Please be extra kind to the people on the front lines keeping this country running and also maybe say a prayer that they don't get exposed. #coronavirus #COVID19 #Covid_19,extremely positive
The resilience and determination of frontline workers is truly inspiring. They are the true heroes of this crisis. #FrontlineHeroes #Determination,extremely positive
Base metal prices are expected to drop in Q????2 2020 as markets are affected due to the Coronavirus outbreak and associated measures. Category specific impact assessment of COVID 19 covered in the latest edition of Procurement Beige Book. Click to know more https://t.co/xNUesxgSeC https://t.co/e0OJQcsoNy,negative
"Woke up early to make the line at the supermarket. 

#Covid_19 #HappyEaster https://t.co/DBriGSS3kP",neutral
"Stock Up on Chicken Soup! KOZAK Ukrainian Bakery ? #staypositive #coronavirus  #eastvan
#food #foodies #foodie #foodblog #vancouver #vancouverbc #yvreats #yvr #vancity #yvrfoodies #vancouverfood #vancouverfoodie #vancouverfoodies #burnaby #newwest #surreybc #richmondbc #Canucks https://t.co/XvOoDkBsEa",neutral
"What I have learnt in  #Covid_19 days:

7) The prices of vegetables and fruits and honing the negotiating skills.
8) Household chores can lead to weight loss. #QuarantineLife #QuarantineActivities #COVID2019india #COVID19outbreak",negative
Let's use this time to strengthen our relationships with loved ones. Reach out to friends and family and let them know you care. #Connection #COVID19,positive
"Let's take a moment to appreciate the unsung heroes of this pandemic - the delivery drivers, postal workers, and sanitation workers who are keeping our essential services running. Thank you for your hard work and dedication. #EssentialWorkers #COVID19",extremely positive
$7 for lettuce is ridiculous': Fruit and veg prices skyrocket amid #COVID-19 panic buying   ?? https://t.co/h3CJ0GDSdr,extremely negative
"Grocery stores limited occupancy down 40% order issued yesterday. In addition to limited hand sanitizer, marking 6ft at registers, etc. Thanking grocery store workers. 

Remind customers to follow #SocialDistancing protocols to keep workers and selves safe.",positive
COVID-19 has disrupted many events and celebrations. Let's find creative ways to celebrate and connect virtually while ensuring everyone's safety. #VirtualCelebration #COVID19,neutral
The cancellation of events and travel restrictions is causing major financial losses for the tourism industry. #COVID19 #coronavirus #tourism,negative
"The government's response to the COVID-19 crisis has been nothing short of disastrous. People are suffering, losing their jobs, and struggling to put food on the table. It's a complete failure of leadership. #coronavirus #COVID19",extremely negative
"There is enough food to feed the nation, says AgriSA amid Covid-19 panic buying https://t.co/X0GQLGXOdb",negative
