text,label
#NOVACYT #NCYT Demand for private #coronavirus testing kits is skyrocketing with prices also rising rapidly. One supplier increased the cost of its tests by 25 per cent over the weekend as private labs struggle to cope with demand https://t.co/TQqYyxZuEx,negative
Finally got my hands on some toilet paper! It's the little victories that make quarantine life bearable. #StayHomeStaySafe,positive
60 of shoppers want stores open by the end of May,positive
Purchase Your Fabricated Manual Screen Printing Machine 4 stations 000 6 stations 000 Prices are negotiable Dm Call or Whstsapp 08121156706 Ronaldo Cristiano Yoruba Seyi Makinde Guardiola Torres Pls Retweet,positive
My cousin works at a grocery store. She says she's been working 70+ hours a week and still can't keep up. Please be extra kind to the people on the front lines keeping this country running and also maybe say a prayer that they don't get exposed. #coronavirus #COVID19 #Covid_19,extremely positive
The supermarket near me is offering special discounts for healthcare workers. Such a thoughtful gesture. #healthcareheroes #discounts #coronavirus,positive
Base metal prices are expected to drop in Q????2 2020 as markets are affected due to the Coronavirus outbreak and associated measures. Category specific impact assessment of COVID 19 covered in the latest edition of Procurement Beige Book. Click to know more https://t.co/xNUesxgSeC https://t.co/e0OJQcsoNy,negative
"Woke up early to make the line at the supermarket. 

#Covid_19 #HappyEaster https://t.co/DBriGSS3kP",neutral
"Stock Up on Chicken Soup! KOZAK Ukrainian Bakery ? #staypositive #coronavirus  #eastvan
#food #foodies #foodie #foodblog #vancouver #vancouverbc #yvreats #yvr #vancity #yvrfoodies #vancouverfood #vancouverfoodie #vancouverfoodies #burnaby #newwest #surreybc #richmondbc #Canucks https://t.co/XvOoDkBsEa",neutral
Missing my friends and family during this lockdown. Can't wait for the day when we can all be together again. Stay connected and reach out to your loved ones. #StayConnected #MissingYou,negative
Feeling hopeful for the future. We will come out of this stronger and more united. #Hope #StrongerTogether,positive
This Morning in Metals: MetalMiner to host webinar on #coronavirus???? impact on #metalprices https://t.co/MIMM17ZnBf https://t.co/g1xDBNbnGg,neutral
The local community is coming together to support those in need during the COVID-19 pandemic. Volunteers are delivering groceries and essential supplies to elderly and vulnerable individuals. #CommunitySupport #COVID19,positive
"Grocery stores limited occupancy down 40% order issued yesterday. In addition to limited hand sanitizer, marking 6ft at registers, etc. Thanking grocery store workers. 

Remind customers to follow #SocialDistancing protocols to keep workers and selves safe.",positive
Restaurants are getting creative by bundling essential products like toilet paper and gloves with food and drinks. A smart strategy to generate additional revenue during these challenging times. #restaurantbusiness #COVID19,positive
The pandemic has highlighted the importance of a strong healthcare system. Let's work towards improving access and quality of care. #HealthcareSystem #PublicHealth,positive
"Global stocks rally as countries announce plans to ease lockdown measures, providing hope for economic recovery. #stocks #economy #COVID19",positive
"There is enough food to feed the nation, says AgriSA amid Covid-19 panic buying https://t.co/X0GQLGXOdb",negative
"$BATS LN investor day. Covid-19 ""as yet ... no material impact"". ""Limited impact to date on consumer demand on cigarettes""; duty free ""not material"". US volume decline only -4% YTD. Planned 2020 pricing 60% done. Retain 2020 forecasts, w/ HSD EPS growth. Good for $MO, $PM, $IMB. https://t.co/o2yfoNmBN9",extremely positive
Enjoying the extra time to indulge in self-care activities like bubble baths and face masks. #selfcare #metime #quarantinelife,positive
"2008 Hope and Change
2020 Soap and Estrange https://t.co/0QJ8yLN5iA
#SoapAndEstrange
#Soap #sanitizer
#coronavirus #COVID?19  #coronapocolypse #WashYourHands #SocialDistancing  #COVID #Fauci #WashToCare #StayHome #SaturdayMorning 
#SaturdayThoughts #SocialDistancingWorksStaySafe",positive
Just witnessed a heartwarming act of kindness at the supermarket. An elderly lady dropped her groceries and a young man immediately rushed to help her pick them up. #SpreadKindness #COVID19,extremely positive
"proud to say @rebecca_mehra inspired me. I noticed an elderly couple looking nervous before entering the grocery store. When I offered to help them, they seemed so relieved. If you????re able to, consider offering to help others. #COVID2019 #SocialDistancing",extremely positive
Guys please stay safe. COVID-19 has been spreading rapidly in Pakistan. Please understand that if you don't take this pandemic seriously it can go very wrong. Please stock up your houses with food as the lawyer sector in Pakistan has been given holidays. This shows that +,extremely positive
House prices everywhere from Hong Kong to Tel Aviv could see a #coronavirus slump. https://t.co/UYBAu1Rd9G,neutral
"Look at Wikileaks Podesta email:
https://t.co/6cZkJnoClp
Now reconcile this:
DOJ investigating BIG PHARMA inflating prices
Malaria drug possibly curing COVID-19
Yrs of $$$ into HIV  
Dr. Fauci praises Hillary, Meets w/Bono for HIV fundraising.
https://t.co/1hlmMEXaL5 https://t.co/qhUUByF7Mi",positive
The panic buying needs to stop! It's causing unnecessary stress and anxiety for everyone. Let's be considerate and only buy what we need. #COVID19 #stoppanicbuying,negative
The hoarding of essential items like eggs is causing unnecessary scarcity. Let's be mindful of others and only buy what we need. #stophoarding #COVID19,positive
Supermarkets are now offering special shopping hours for the elderly and vulnerable. Such a thoughtful gesture! #CommunitySupport #HelpingOthers,positive
The constant news updates about the pandemic can be overwhelming. Remember to take breaks and focus on self-care. #COVID19 #selfcare,positive
Supermarket Sweep been preparing us for this for decades. #coronavirus #covid19 #hoarders https://t.co/HbJjg43rA4,neutral
"The UK's biggest supermarket has become the latest grocer to limit the number of products customers can buy in stores, as it tries to cope with the huge demand from the Covid-19 outbreak. Story: https://t.co/Ap6jjeFfRE https://t.co/P7RFHCQWd9",positive
"I'm amazed by the innovative ways businesses are adapting to the current situation. From online ordering to contactless delivery, we're finding new ways to stay connected. #innovation #COVID19 #adaptation",positive
Just finished a great book! Reading is a great way to escape and relax during these uncertain times. #Bookworm #Escape,positive
"????The Lucky Charms were all gone.???? Disappointments of a food shopper trying to stock up. https://t.co/AiEMMHbvWm. 

Fascinating look at consumer buying habits during COVID-19. It will be interesting to see what changes occur long term. Via @WSJ",extremely positive
Perrigo's role as a global consumer self-care company is crucial during these challenging times. #Perrigo #COVID19,positive
Supporting local farmers by buying their produce directly. It's a win-win situation! #SupportLocal #FreshProduce,positive
I wish you hoarders would stop stop going to the grocery store and buying up everything other people need to eat too Houston Tx has become an every man for themselves city I m taking care of nine kids and we can t find any necessities in this town,extremely positive
Industry leaders reaffirm the country????s #supplychain is prepared to meet demand. https://t.co/vdQ0j3N7k0 @WinsightGrocery #coronavirus,positive
The shortage of hand sanitizers and face masks is causing frustration among consumers. #shortages #COVID19 #sanitizers,negative
The resilience and adaptability of small businesses during this crisis is truly inspiring. Let's continue to support them in any way we can. #COVID19 #smallbusiness,positive
The pandemic has reminded us of the importance of self-care. Taking time for ourselves and practicing mindfulness has become essential for maintaining our mental well-being. #SelfCare #MentalHealth #COVID_19,positive
Supermarkets are implementing one-way systems and floor markings to ensure proper social distancing. Let's all follow these guidelines for everyone's safety. #socialdistancing #COVID19 #supermarkets,positive
"The pandemic has disrupted supply chains, leading to shortages and price hikes. We need to find sustainable solutions. #COVID19 #supplychain",negative
Looking for healthy cooking options? Try these nutritious recipes that are both delicious and good for you. #healthycooking #nutritiousrecipes,positive
"The spring housing market will be much slower than normal, but home prices remain stable even as some markets hit pause during the COVID-19 outbreak. https://t.co/qpYWUfHLqB https://t.co/CRYZArZCUj",positive
"The grocery store shelves are looking bare again. It's a reminder that we're still in the midst of this pandemic. Stay vigilant, everyone. #StaySafe #COVID19",negative
Feeling overwhelmed with all the negative news lately. Taking a break from social media for some much-needed positivity. #positivity #unplug #selfcare,negative
"While the world panic buys loo rolls and food, #US panic buys guns and ammo.

#coronavirus #panicbuying 

https://t.co/IbkFPTvuc7",extremely negative
"Due to difficult times caused by the COVID-19 situation, we will be lowering our prices by 30% on all products for for a limited time. Until the quarantine is over or until we are no longer able to ship out.

Please stay safe and we wish you the best during this difficult moment. https://t.co/njbf13trMM",positive
Remember to practice social distancing even when grocery shopping. Keep a safe distance from others. #SocialDistancing #COVID19,neutral
@piersmorgan you need to show the clip of the Chinese woman who had coronavirus and was caught spitting on fruit in a supermarket #coronavirus #Moronavirus,neutral
Stay informed about the latest guidelines and updates from reliable sources. Misinformation can be harmful. #StayInformed #COVID19,neutral
"#Godrej has reduced the prices of its Protekt handwashes after peers #HUL -- for its Lifebuoy -- and #ITC -- for its Savlon handwashes -- announced price reduction last week. #coronavirus
https://t.co/9mYD5tlZMt",neutral
Just witnessed an act of kindness at the grocery store. A stranger helped an elderly woman reach an item on a high shelf. #community #coronavirus,positive
"I filled almost half of the shopping cart with cleaning supplies and immediately felt cleaner..."" My tiny contribution to explaining our current obsession with toilet paper. https://t.co/FFLIYEDEi2 #anthropology #stayathome #covid19 #coronavirus  #toiletpaper #purity #danger",negative
Friday night during the #CoronaCrisis ... grocery shopping ? online ???? for curbside ? pick-up. #SocialDistancing (we are old) https://t.co/Qejh69b4uD,neutral
Consumer Reports has some ideas on tech helping us work remotely while we're being vigilant in protecting colleagues and ourselves. https://t.co/0YkwWPKleg,positive
The impact of COVID-19 on small businesses is devastating. We need to support them now more than ever. #SupportLocal,extremely negative
Coronavirus Lockdown amp Hiring a Locksmith   Everything you need to know about hiring a locksmith during the   What locksmith hours are during Lockdown   If Prices have changed   If Call Out Charges are higher,negative
The uncertainty of the future is overwhelming. We need strong leadership and clear guidance to get through this. #COVID19 #Leadership,negative
"Let's not forget the importance of self-care during this crisis. Take time to relax, practice mindfulness, and engage in activities that bring you joy. #selfcare #COVID19",positive
Supermarket in Disturbing times with,negative
I went to the supermarket today to buy toilet paper I was too late There were only empty shelves I did not post a photo of empty shelves on any social media platform You re welcome,positive
Sears has temporarily closed all of its stores amid the pandemic issuing another financial blow to the struggling department store retailer The COVID 19 crisis will accelerate their demise says a former Sears exec There is no way to turn it around,extremely negative
The prices of essential items like hand sanitizer and disinfectant wipes have skyrocketed. It's disheartening to see people taking advantage of the situation. #PriceGouging #Unfair,negative
Supporting local businesses is more important now than ever. Let's help them stay afloat during this crisis. #SupportLocal #ShopLocal #COVID19,positive
Let's show gratitude to all the essential workers who are keeping our communities running smoothly. Thank you! #EssentialWorkers #COVID19,positive
"nurses, teachers, those who grow our food and those who transport it to the supermarket shelves, and the people who, despite the health risks, continue to serve us in the supermarkets &amp; pharmacies.""

https://t.co/qOoXhtDPC7",positive
Shoutout to all the grocery store workers who are working tirelessly to keep the shelves stocked and ensure everyone has access to essential items. You are our heroes. #ThankYou #FrontlineWorkers #COVID_19,positive
"At the best of times I can????t stand anyone near or next to me in the supermarket isle looking at the same products on a shelf. Now it????s a nightmare. I end up having to leave and loop back when they are gone. Anyway, good for another week. Relax. #coronavirus",extremely positive
I'm grateful for the car insurance refunds being offered during the pandemic. Every little bit helps. #carinsurance #COVID19,positive
Printed store flyers may not come back as COVID-19 changes retail habits - https://t.co/pkeaZWBL3t store flyers may not come back as COVID-19 changes retail habits https://t.co/kzPscXrnMa,neutral
The disconnect between housing prices and incomes has led to a potential crisis of mortgage defaults in urban centers. Let's address this issue and find solutions to ensure housing affordability for all. #housingcrisis #affordablehousing #COVID19,negative
Just finished a virtual workout session. It's great to see fitness trainers adapting to the current situation. #virtualworkout #fitness,positive
Been using my hand sanitizer as perfume.  #coronavirus #glam https://t.co/YHdAGrISB4,positive
