text,label
"Hmm, $25 to see the Decemberists, but I have to go to Raleigh on a work night... or $95 for cheap seats to the Bolshoi? Probably neither",negative
"Might buy some iPod apps later, hmmm...",neutral
I had one of those in south Florida. Mowing around it could hurt,neutral
Back from comedy night. Great fun. It`s only midnight. I`m knackered. I`m getting old,neutral
"A lovely weekend away at Kits Coty, now relaxed and well rested and ready for the week ahead.  Back on NNC in two weeks",positive
No news yet,neutral
"I`m the same way, but with Backstreet Boys. I remember gasping when they used 1 song on Chuck  I was like O.O OMFG NO WAY",negative
Who builds a hotel without air-con? Bloody boiling in here...,negative
"Pleased to hear it, but still I am shamed sometimes to hear what some men do",negative
() oh snap,neutral
wee. done with advance audit paper,neutral
"feeling, breathing, believing, keeping you on my mind and never ever gonna think to let you go..",neutral
"Oh man, Did Yogg today. Worse than last week.",negative
so had a freakin lond thursday  ready to hit the hay and surprise surprise I can`t freakin sleep :/ Boo!,negative
"how old is jonathan jr? I`ve got four cockatiels, they`re two years now",neutral
Thank you. I needed that,positive
_Anderson your tweets were awesome  **** the heat. That`s what dencorub is for,neutral
: more interested in watching SNL for Ciara than Justin Timberfake,positive
Recording an acoustic track! For you sexy kids!,neutral
Can you talk to my hubby  and convince him that that`s a great present for ALL mommies???,positive
"I`ve already done my washing, I have a spring in my step this morning",neutral
I have one fastsmallballbuster`y question. & I promise not to weirdherout w/the fact it MAY be on my visionboard,neutral
yea just fun dive..a bit scary sometimes but fun.  u like diving?,neutral
Mmm someone come havelunch with me,neutral
Driving Back home because I forgot the piece of cake for _era,neutral
Two day hangover,neutral
"_Pierce Well the Enterprise E, the NX-01, or the NCC 1701(no bloody A,B,C,D, or E)",neutral
What are we doin!!?? Tell me! tell me!,neutral
roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC,negative
Ok the thunder is scaring me,negative
Oh no  I hope you reach him!,positive
Yes. I also use my desktop`s mouse and ketboard as if ot was just a second monitor   http://twitpic.com/4wlpf,neutral
Not a happy camper  not having a good day at all...,negative
Hi frenchie *-* i`ll do that...later  :p,neutral
"was in Palawan a couple of days ago, i`ll try to post pictures tom.",neutral
my stomach feels like it`s touching the ground..i`m SO full,negative
"It Was The Best Evar & My First,, You Didnt Awnser Any Of My Questions  xoxo",positive
happy momies day!,positive
"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY  i love you all!",positive
"quitting my beloved job... having a long luvly  vacation at Koh Tao (turtle island), south of Thailand... SEA, SAND, SUN...WANNA JOIN ME?",positive
is off to get the boy and then to his doc. Persistent coughs are not good.  http://plurk.com/p/x285t,negative
_G yup - that`s where I watch all my movies,neutral
"http://twitpic.com/4jcwm - YES, my #ubook Lenovo T400 finally arrived!",positive
so Roman is now on pain killers and some LQ meds. Thanks Jess for agreeing to go get him yogurt before you go out!,neutral
any one watching justin timberlake on SNL? He is greattttt! So hilarious,positive
ohhhhh with ya,neutral
WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,positive
I`m bummed that I didn`t get TEDx tickets,negative
lunch in the forrest ... its so baron.  fpu is so dead,neutral
Mama? you`re the best thing that ever happen to me. thanks for everything  & and sorry for hurting you... I LOVE YOU!  <3,positive
45Th st pub anyone tonight? Dont want to be a lonely drunk tonight,positive
Just got a shot on my arm. Eww.,neutral
Chilling with my baybee sarah!  i love this girl,positive
I`m having the same problem,negative
I`m going to see sweeney todd on stage with my best friend for her bday today (I know I`m going to be the one who sings along!!),positive
waiting to go to the movies later for my 6th month. booored.,negative
love it! Really its simple i think of a word and put twi on the front i should be more clever,positive
This is truly enlightening for me,positive
I don`t think the neti pot is working for me  maybe I`m doing it wrong?,negative
Evermore & End of Fashion rocks! My poor foot though! oww! injured my foot. not good. will be sore tomorrow.  details to follow  later,negative
I can`t wait to see yall Friday !!!! I hope I meet u guys!! That would make the night even better,positive
"Hehe you`re right, I`m not daft  May is a good month to be on a French contract!",positive
aww sorry to hear you are having a bad time. Remember: this too shall pass,negative
Going to school =[ I`m actually not so tired today tho,positive
"I use an external track ball with my laptop. Again, seems excessive, but is totally more efficient.",positive
Yeah it`s Friday but I have to work at 5am tomorrow  oh well going shopping afterwork,neutral
_com All breaking news will be tweeted here I hope  welcome to twitter!,positive
"_ hehe go dye it beb! put more blonde innn  mine is lighter than it was, left it in  a bit too long oops><",neutral
_tastic Awww that is sweet,positive
sooo long twitters! I`m off to Cuba,neutral
"I was talking with my best friend ??????ureo about i-phones, Rio de Janeiro, and valentines day in Brazil. He has a girlfriend and I??????m not",neutral
"Just got back from work, OT na naman. What`s new?",neutral
"You make me smile....it will get better, you have to believe that",positive
_brads i`ve finished  lol,neutral
