text,label
Not feeling in the mood for Cheers today.,neutral
"I got tickets, do you?",neutral
Looking forward to a weekend getaway. It'll be nice to escape the hustle and bustle of everyday life.,neutral
Just finished a challenging puzzle. It feels good to solve it.,neutral
Taking a break from work with a cup of coffee. It's a little pick-me-up.,neutral
Just finished watching a comedy special. It was hilarious! Laughter is the best medicine.,neutral
"I've been feeling really stressed lately, and it's taking a toll on my hair. It's looking so weird now. I hate it.",negative
Enjoying a leisurely walk in the park. It's a peaceful way to start the day.,neutral
aww sorry to hear you are having a bad time. Remember: this too shall pass,negative
happy momies day!,positive
_ryall What if I thought I was a Star Trek person but I wasn`t all that crazy about the new movie?,negative
"I`ve already done my washing, I have a spring in my step this morning",neutral
Feeling like a complete mess after that night of heavy drinking. Hangovers suck!,negative
not doing relay  oh well.,negative
"I don't like peeling prawns, and I hate going shopping. Running out of money is the worst.",negative
"I'm so tired of dealing with all these problems, it's never-ending.",negative
Just finished watching a documentary on ancient civilizations. Interesting stuff.,neutral
_Anderson your tweets were awesome  **** the heat. That`s what dencorub is for,neutral
I am officially a kindergarten cop,neutral
roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC,negative
why does everything always have to go wrong? It's like I'm cursed or something.,negative
Reached a new personal record at the gym today! Hard work pays off. Feeling stronger than ever.,positive
Hmm... the new sports catalog and card jitsu updates are not appearing for me,neutral
no turkey leg? i can`t believe it!,negative
Catching up on some much-needed rest and relaxation.,neutral
Heading to the gym for a workout. Need to burn off some energy.,neutral
Thankful for the opportunities and support provided by my mentors. Their guidance has been invaluable in my personal and professional growth. #grateful,positive
Planning a movie night with my friends. Looking forward to a fun evening.,neutral
why does everything always have to go wrong? It's like I'm cursed or something.,negative
"the rain ruined my plans for a picnic, now I'm just stuck indoors with nothing to do.",negative
I can honestly say that thematic had a big part in my blogging enthusiam ~ I love being able to do what I want,positive
"this continuous rain is really ruining my mood, can't even go out and have fun.",negative
my tvs not working  i wanna watch vhits :`(,negative
Going for a hike in the mountains this weekend.,neutral
why does life have to be so overwhelming? I'm just feeling lost and exhausted all the time.,negative
Driving Back home because I forgot the piece of cake for _era,neutral
"Planning to spend the day at the beach. Looking forward to some sun, sand, and relaxation.",neutral
"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY  i love you all!",positive
"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",neutral
Watching French Open tennis - sad to see Venus make an early exit this morning!,negative
omg you`ve never seen `the Ring` its a creppy **** movie,negative
yes  lol,neutral
my stomach feels like it`s touching the ground..i`m SO full,negative
I **** miss that band so so much,negative
"Making a video for HitRecord... hope it comes out well, it`ll be my first record",positive
OR... Something to do with all the Red Bull?  Hmmm. You think maybe?,neutral
"My boss has been bullying me at work, and it's making my life miserable.",negative
Just finished a satisfying workout at the gym.,neutral
Excited to start reading my new book tonight.,neutral
"being unable to drive is such a hassle, I wish I could just go wherever I want without depending on others.",negative
