text,label
Hmm... the new sports catalog and card jitsu updates are not appearing for me,neutral
fantastic.... pick up a **** for me,positive
"I can't catch a break, everything just keeps going wrong.",negative
My phone works! Its whack. Well good morning. Gonna go eat breakfast with neil before school starts,positive
Actually there was this other guy I thought I didn`t know but turns out I DID know from a previous party...,neutral
"Still carrying the emotional baggage of past hurts, it weighs me down.",negative
yea just fun dive..a bit scary sometimes but fun.  u like diving?,neutral
did you have an amazing time?,neutral
"lol, i`ve done that one b4  i`m a victim 2 that! lol",negative
"This weather is so awful, it's ruining my mood.",negative
Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!,positive
"Need a tickettttt  Gah. Ya you`ve got me on there, reason346.. Haven`t listened to dear Elliott for a few weeks...overdue..",negative
happy momies day!,positive
my tvs not working  i wanna watch vhits :`(,negative
Congratulations on your new addition to the family! Wishing you endless joy and precious moments with your little bundle of joy. Congrats!,positive
Just woke up and it's already noon. Time for brunch!,neutral
"Just a little reminder that you are strong, capable, and deserving of all the good things that come your way. Keep shining and believing in yourself!",positive
Shoutout to my amazing friends for always being there for me. You guys make life so much better and I'm grateful to have you by my side.,positive
Driving Back home because I forgot the piece of cake for _era,neutral
Taking a break from work and enjoying a cup of tea.,neutral
"ew, i used to get 'suicides' in mid. school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too.",positive
omg you`ve never seen `the Ring` its a creppy **** movie,negative
Answered some fun trivia questions and managed to get all of them right. Feeling pretty proud of myself!,neutral
"Feeling so down today, really missing my family and friends.",negative
Feeling left out while everyone else is having a great time.,negative
Just made a delicious dinner! Ready to eat and relax for the evening.,neutral
"Wishing you all a fantastic day! Remember to always be kind, smile often, and spread love wherever you go. Let's make the world a better place!",positive
"My car broke down on the way to an important meeting, just my luck.",negative
sick of having constant bad dreams  grr,negative
Hey there! Just wanted to say that you are doing an amazing job. Keep up the great work and never stop believing in yourself.,positive
Putting on my favorite playlist and enjoying the music.,neutral
Answered a thought-provoking question in a group discussion. It's amazing how diverse perspectives can broaden our horizons.,neutral
This storm ruined all my plans. I'm so frustrated.,negative
I wish I could go back home and escape from all this chaos.,negative
The traffic is insane today. I've been stuck in my car for hours.,negative
I hate how much pain I'm in. It's unbearable.,negative
i know,neutral
Congratulations to my brother on his graduation! So proud of all your hard work and accomplishments. The future is bright for you! #proudsibling,positive
I can't believe he said that to me. It's like a stab in the heart.,negative
Nothing is going according to plan. Everything is falling apart.,negative
Greetings to all the new members of our community. We're thrilled to have you join us. Let's support each other in this journey!,positive
Happy moms day,positive
: more interested in watching SNL for Ciara than Justin Timberfake,positive
Just finished a challenging Sudoku puzzle. Feeling accomplished!,neutral
Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.,positive
at f***** work  .... want somebody to come ???,negative
"The bus never arrives on time, making me late for everything.",negative
I hate how everyone else has a partner except for me. It's so unfair.,negative
Planning a picnic in the park with friends. Can't wait to enjoy the outdoors and have some fun!,neutral
counting the minutes until I can go home,negative
FML still awake  melatonin not working!,negative
_ryall What if I thought I was a Star Trek person but I wasn`t all that crazy about the new movie?,negative
Good morning beautiful people! Just wanted to let you know that you are all amazing and capable of achieving anything you set your mind to.,positive
"http://twitpic.com/4jcwm - YES, my #ubook Lenovo T400 finally arrived!",positive
