text,label
Just had a neutral conversation with a friend,neutral
Thanks a lot! You`re very kind!  I just got back from a nice drive in the 500. Such a fun car to drive  Have a nice day!,positive
"going to watch a dvd with hubby,`Eagle Eye`, twit u all 2morrow, cia",neutral
Apparently it`s 21 degrees in Kilkenny now! And some comedy would be a great remedy to my boredom! Why the hell did I leave Kilkenny!?,negative
I love going for long walks in nature. It's so calming.,neutral
Just had a picnic in the park. It was lovely.,neutral
This project is a complete disaster,negative
Feeling inspired by the success stories of others. #motivation,positive
Driving Back home because I forgot the piece of cake for _era,neutral
I'm so sick and tired of all the drama,negative
she fell into deep crack in the glacier  so terrible,negative
happy momies day!,positive
Taking a break and enjoying a cup of coffee. So relaxing.,neutral
roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC,negative
Met my favorite celebrity and got a picture with them! #dreamsdocometrue,positive
Going for a walk in the park with my dog. Enjoying the fresh air.,neutral
The only thing about preparing 5 sermons in one week is just when you think you are done...you have to prepare the powerpoint slides,neutral
"Just watched the trailer for the new Sam Raimi movie, Drag me to Hell.  Looks interesting, but there was no humor in it.",neutral
Feeling inspired after attending a motivational seminar.,positive
at f***** work  .... want somebody to come ???,negative
my tvs not working  i wanna watch vhits :`(,negative
Received a surprise gift from a dear friend. #grateful,positive
Excited to try out a new restaurant for dinner tonight.,neutral
Yea its nice! But im only here for a weekend!,positive
"BAH, you`be made me all hungry now",negative
_n_booklife I heard about that too... that seems an overreaction...,negative
Celebrated my graduation with family and friends. It was a day filled with joy and happiness.,positive
_brads i`ve finished  lol,neutral
I'm sick and tired of dealing with this nonsense,negative
Going for a hike in the mountains. Enjoying the fresh air and exercise.,neutral
Just had the most frustrating conversation with my boss,negative
I'm so disappointed in myself. I let everyone down.,negative
I'm so disappointed in myself. I can't believe I let this happen.,negative
http://bit.ly/13f5m0  You are not alone in your disbelief but I am quite happy with evolution. It beats the alternatives posited,neutral
I'm so lonely. I just want someone to talk to.,negative
Spent the day volunteering at a local charity. It feels good to make a difference in the community.,positive
"I`ve already done my washing, I have a spring in my step this morning",neutral
_Rahal Thing about living is that there are always undeveloped pictures in your future.,neutral
I'm feeling neutral about the weather today,neutral
"Link won`t open, but I will try it when i have a better connection tomorrow. I`m curious now",positive
Feeling inspired after attending a motivational seminar.,positive
A 25 year old zebra with wind? Lol,neutral
Taking a leisurely stroll through the mall. Enjoying window shopping.,neutral
I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..,negative
Started a new hobby and already loving it. #passion,positive
Started a new business venture. Excited for the future!,positive
"Finished all my errands, feeling productive",neutral
Thinking about what to wear for the party tonight,neutral
17 hours left of being a teenager.. and ill be sleepin for 8-10 of those hours.. how depressing,negative
See you on may 16!!,neutral
Hmm... the new sports catalog and card jitsu updates are not appearing for me,neutral
Just had the most horrible day ever,negative
"lol, i`ve done that one b4  i`m a victim 2 that! lol",negative
Feeling blessed and grateful for all the good things in my life.,positive
"This week meet me at OFFF, next Thu, Fri and Sat. And try there MIC and Surface.",neutral
Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.,positive
fantastic.... pick up a **** for me,positive
Ok the thunder is scaring me,negative
Feeling so frustrated with my lack of motivation,negative
About to Enjoy the Silence,positive
"It`s my wall, and I like saying I banned Zac Efron  lol sonny",positive
Enjoying a peaceful afternoon in the park. #serenity,positive
() oh snap,neutral
