text,label
"Having a great time at the beach, the sun and sand are so refreshing.",positive
Longing for some time alone,neutral
which case? I got a new one last week and I`m not thrilled at all with mine.,negative
I love spending time with my family,positive
I got into a fight with the pavement. I think it won  poor little knee,negative
is cleaning the house for her family who is comming later today..,neutral
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral
"Missing my family, can't wait to see them soon",negative
"This week meet me at OFFF, next Thu, Fri and Sat. And try there MIC and Surface.",neutral
happy momies day!,positive
Enjoying the beautiful weather outside.,positive
"how old is jonathan jr? I`ve got four cockatiels, they`re two years now",neutral
Wishing I had more time to relax. Wishing I had more time to relax.,neutral
My new landlord just called.. I cant move in until tomorrow morning  Way to rain on my parade..,negative
http://twitpic.com/4jjdx - Soak your had in hot water (but not boiling) for about 30mins - it`ll pull them right out,neutral
Monday blues are hitting hard,negative
Can't wait for my birthday next month,positive
Need a break from all the noise,neutral
Got Firefox working again. Now I just have to get back all of my bookmarks...,neutral
roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC,negative
Just booked a trip to Italy! Can't wait!,positive
Looking forward to meeting old friends,positive
Hmm... the new sports catalog and card jitsu updates are not appearing for me,neutral
"haha, i was crying  ****",negative
Weekend plans fell through,negative
Thanks for tweeting a very useful set of refs - I`m in the middle of adding them to a chapter I`m editing,positive
"I`m the same way, but with Backstreet Boys. I remember gasping when they used 1 song on Chuck  I was like O.O OMFG NO WAY",negative
_ryall What if I thought I was a Star Trek person but I wasn`t all that crazy about the new movie?,negative
Thank you. I needed that,positive
Excited for the weekend!,positive
Eager to learn new things,positive
The concert last night was incredible!,positive
my tvs not working  i wanna watch vhits :`(,negative
I **** miss that band so so much,negative
Tired of the constant interruptions during meetings,negative
Driving Back home because I forgot the piece of cake for _era,neutral
The never-ending workload at the office is stressing me out.,negative
"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY  i love you all!",positive
Celebrity sighting: Spongebobs here! #BEA09   LOL! Now I`m even more distraught I missed it,negative
Watching French Open tennis - sad to see Venus make an early exit this morning!,negative
_Anderson your tweets were awesome  **** the heat. That`s what dencorub is for,neutral
"Going through a rough time, feeling really low",negative
fantastic.... pick up a **** for me,positive
Just finished watching a scary movie,negative
"Ugh, looks like you`ll have some work to do . Good luck",positive
"yeah i know hun, spammers seem to move fast though, already had two in first few minutes of posting.  Block `em",negative
Hey it`s that old writing avoidance  Write 1 continuous flow non stop 4 10 mins=trick I use 2 loosen up gremlins!,neutral
"Vacationing in a tropical paradise, life couldn't be better right now.",positive
Excited for the new job opportunity.,positive
Can't wait for the weekend!,positive
Needing a break from the hustle and bustle,negative
Bothered by the long wait at the doctor's office,negative
"lol, i`ve done that one b4  i`m a victim 2 that! lol",negative
Ready to tackle the day ahead,positive
Missing my best friend so much,negative
The movie was a letdown.,negative
yes I do! Because he is going to the marines to protect & serve and leaving me!,neutral
rofl! we aren`t wearing dark grungy though! I asked bradie if it was ok he said yess,positive
Happy moms day,positive
: more interested in watching SNL for Ciara than Justin Timberfake,positive
Annoyed by the constant interruptions at work.,negative
http://twitpic.com/4wf3a - the definition of true beauty,positive
Nice idea for a M-I-L gift. Did you crochet it? Good idea about looking online.  There are Youtube videos showing lefty crochet.,positive
Frustrated by the constant interruptions.,negative
Overjoyed by the birth of a new family member.,positive
17 again was funny,positive
"Need a tickettttt  Gah. Ya you`ve got me on there, reason346.. Haven`t listened to dear Elliott for a few weeks...overdue..",negative
lol ! You take David lah ! I want Danny  not tom !,neutral
I can't believe this happened,neutral
Just finished watching a great movie. Just finished watching a great movie.,positive
did you have an amazing time?,neutral
Yea its nice! But im only here for a weekend!,positive
"BAH, you`be made me all hungry now",negative
at f***** work  .... want somebody to come ???,negative
Tired of the constant traffic jams,negative
Looking forward to the weekend,positive
So drunk!  Love u guys!,positive
"Feeling so anxious about the upcoming exams, it's consuming my thoughts.",negative
Yeah it`s Friday but I have to work at 5am tomorrow  oh well going shopping afterwork,neutral
"Just finished watching a terrible movie, what a waste of time",negative
Relieved after the stressful week.,positive
A 25 year old zebra with wind? Lol,neutral
Sadness  The top horde guild that I liked disbanded.,negative
"You make me smile....it will get better, you have to believe that",positive
_M Make one with something about the Charger?,neutral
"Excited to start my new job next week, can't wait for this new opportunity.",positive
"Woke up to a beautiful sunrise, it's going to be a great day.",positive
Enjoying a peaceful evening with a good book and some hot tea.,positive
OR... Something to do with all the Red Bull?  Hmmm. You think maybe?,neutral
Wishing for more time to relax,neutral
A productive day at work,positive
"Had a great time at the party last night, it was so much fun!",positive
Displeased with the service at the restaurant.,negative
Somebody accidentely sleep for 3 hours instead of 2 and now I can`t hang out  WORK BLOWS! sorry _jones20 and,negative
Looking forward to the weekend! Looking forward to the weekend!,positive
what was said?,neutral
just been in the garden but i was being attacked by bugs so i came inside,neutral
"It`s my wall, and I like saying I banned Zac Efron  lol sonny",positive
Actually there was this other guy I thought I didn`t know but turns out I DID know from a previous party...,neutral
"quitting my beloved job... having a long luvly  vacation at Koh Tao (turtle island), south of Thailand... SEA, SAND, SUN...WANNA JOIN ME?",positive
Happy to see the sun after days of rain.,positive
Feeling under the weather today,negative
bullet train from tokyo    the gf and i have been visiting japan since thursday  vacation/sightseeing    gaijin godzilla,neutral
Ready to tackle my goals for the day,positive
"Just heard some great news, feeling really happy",positive
_brads i`ve finished  lol,neutral
Had a great time at the party.,positive
Disappointed with the service at the restaurant.,negative
I finally finished reading that book!,positive
"Excited to try out a new recipe for dinner, cooking always lifts my spirits.",positive
Overjoyed at the news of the upcoming family reunion,positive
The sunset was breathtaking today,positive
Frustrated with the slow internet speed,negative
The news today is so depressing,negative
My phone works! Its whack. Well good morning. Gonna go eat breakfast with neil before school starts,positive
About to Enjoy the Silence,positive
Tired of the ongoing construction near my house,negative
Feeling sick and tired today,negative
The only thing about preparing 5 sermons in one week is just when you think you are done...you have to prepare the powerpoint slides,neutral
Feeling really excited about the upcoming trip,positive
I keep pulling out my knitting at my desk and then putting it back.  Not good!  Not good!    T-minus 15 minutes till release........,negative
"Failed my driving test again, so disappointed in myself.",negative
I queue for cake standing up and with a slight look of deranged anticipation on my face.,neutral
Irritated by the constant noise from next door.,negative
"i hav a chance to win $10, $100, $1000.  i was given a free can of $ plant..have to wait till the plant grow to know if i won anythin!!?!",neutral
is soo bored its lovley day outside but nuttin to do,neutral
well us Brits have to wait a few more days for it!  I thought it was all gonna released at once! I guess it`s worth the wait!,positive
Fed up with the constant office politics.,negative
"going to watch a dvd with hubby,`Eagle Eye`, twit u all 2morrow, cia",neutral
FML still awake  melatonin not working!,negative
Excited for the upcoming vacation overseas,positive
i hope unni will make the audition . fighting dahye unni !,positive
Happy to see friends after a long time.,positive
Not a happy camper  not having a good day at all...,negative
"Another day, another dollar",neutral
"Just received some bad news, feeling really down",negative
waiting to go to the movies later for my 6th month. booored.,negative
_rockett i know! And he laughed at the stupid `women`s right`s` joke. Wth! Glad we have the same humor!,positive
Looking forward to the new season of my favorite TV show,positive
I wish I could go. See ya at Warped for sure tho!,positive
45Th st pub anyone tonight? Dont want to be a lonely drunk tonight,positive
macbook dying. switching to iphone.,negative
